curve (01).obj
-0.742651 -0.477522 0.0834618
0.449249 0.499194 0.79443
-0.609872 -0.21219 0.463086
0.734812 -0.469683 -0.79647
-0.34246 -0.511314 0.780349
-0.673107 0.0747779 0.327493
0.757416 -0.401612 0.130447
0.625781 0.0915456 0.510725
-0.656563 0.345284 -0.496088
0.750768 0.431323 0.336742
-0.305082 -0.444784 0.382985
curve (14).obj
0.454517 0.220712 0.0503676
0.742154 0.182428 0.313568
-0.619398 0.12363 0.12227
-0.678166 -0.209198 -0.253718
0.690123 -0.211916 -0.38475
-0.705363 0.198899 -0.324691
0.205408 0.058724 0.151377
0.675934 -0.189592 0.226036
-0.489112 0.214845 0.00448281
-0.743295 0.229756 -0.0536985
-0.633606 -0.182686 0.0970779
0.680915 -0.254373 -0.0484497
0.418887 0.219653 0.042288
0.700094 0.233557 0.0674406
0.668264 0.210071 -0.29684
-0.00146847 -0.0959845 0.149789
0.523269 0.0199315 0.152634
-0.205323 0.170998 0.13317
-0.690473 0.0911316 0.360383
-0.766046 -0.188004 0.315771
-0.00305105 0.214814 -0.0335169
-0.331121 -0.212849 -0.0141936
0.267897 -0.213928 0.044835
-0.317036 -0.211361 0.0305403
0.000684626 -0.210046 0.0467183
-0.279309 0.210904 0.0475448
0.69556 -0.149883 0.0398174
0.699291 -0.163993 0.0510592
0.699291 -0.163993 0.0510592
0.0189989 0.22013 0.0431989
curve (15).obj
0.693004 0.135758 -0.107007
-0.655026 -0.177762 -0.196233
0.089976 -0.256079 0.37795
-0.72829 0.147164 0.313013
0.579229 -0.207646 0.482863
-0.667512 0.18665 -0.129289
0.753297 0.0334721 0.477567
-0.762772 -0.0587817 0.467077
0.784767 0.216149 0.166208
-0.157624 0.147213 -0.248363
0.033171 -0.0977944 -0.275011
-0.443243 -0.0836743 -0.248363
-0.35654 -0.216345 0.487119
-0.744196 0.212817 -0.419634
0.667777 0.214307 0.384094
0.323713 -0.112995 -0.271638
0.65989 -0.186708 -0.39872
0.260436 -0.217108 0.487119
0.315109 0.157461 -0.27594
-0.0956678 -0.255825 0.37795
0.786653 -0.232959 0.27894
0.651386 0.131644 -0.357808
-0.721385 -0.259046 0.192251
0.360395 -0.0722886 0.487119
0.706296 -0.163952 -0.151659
0.746778 -0.177509 0.106147
-0.716731 -0.227852 -0.438596
-0.357334 0.238894 0.45488
0.00816259 0.238894 0.448722
-0.667777 0.214307 0.443074
curve (17).obj
-0.448985 -0.140078 -0.0522003
-0.486291 -0.364442 -0.243206
0.250893 0.343839 -0.218789
0.399522 0.327762 0.233066
-0.0357622 0.509 0.78567
-0.297757 0.441283 -0.445172
0.425299 -0.541077 -0.355354
0.489566 -0.246924 -0.157067
0.243297 0.483473 0.365229
-0.0842373 -0.518971 -0.184858
-0.248224 -0.328652 -0.301975
-0.312083 0.402246 0.156954
-0.460421 -0.490751 -0.662136
0.216922 0.385248 -0.589233
0.469548 -0.473196 -0.713395
0.293892 -0.150103 -0.0394405
0.531554 -0.254639 0.172745
0.340778 -0.460652 -0.0958481
-0.375691 0.282288 -0.247635
-0.487331 0.275157 0.264954
0.424703 0.104534 -0.201188
0.263772 0.503148 0.733005
-0.148375 0.30698 -0.0969789
-0.532908 -0.187047 0.204626
0.0928971 -0.120145 -0.247617
-0.19018 0.441768 0.552188
-0.0579789 -0.330871 -0.00756278
0.0326002 0.518894 0.500229
-0.0434356 0.467197 -0.247541
0.319644 -0.0014401 -0.247793
curve (18).obj
0.708065 0.767624 0.112997
0.776096 -0.137799 0.113507
0.745144 -0.587263 0.0845097
0.378563 -0.764036 0.139565
-0.747934 -0.760959 -0.408838
-0.708267 0.721019 -0.405178
-0.724817 0.79801 0.014647
0.754638 -0.728734 0.290661
0.758395 -0.707629 -0.402377
-0.428381 0.766101 0.135092
0.751763 0.1346 0.147211
0.735064 -0.797947 -0.0482337
0.709376 0.765589 -0.474033
-0.768364 0.316026 0.111413
-0.774601 -0.648927 0.097952
-0.764809 -0.0137325 0.119089
0.0825477 -0.774588 0.116779
-0.172112 0.769202 0.10959
0.453122 -0.749275 0.152626
-0.199162 -0.773034 0.101325
0.231083 0.777478 0.0911003
0.754638 0.361317 0.326428
0.754638 0.180289 0.510268
0.729208 0.689211 -0.143515
-0.517465 -0.625653 0.0989682
-0.747633 -0.539516 0.501685
-0.754645 -0.180811 0.50705
-0.708254 -0.768265 -0.145779
-0.180759 0.754638 0.344311
-0.764298 -0.300792 0.138995
curve (19).obj
-0.518189 0.168586 0.164698
-0.488843 -0.508567 -0.376845
0.500581 -0.352262 0.184585
0.418517 0.425121 0.724602
0.298014 0.343803 -0.0914113
-0.332455 0.381164 0.404489
0.545279 0.133233 0.66842
0.477398 0.220955 0.245832
-0.286845 0.34274 -0.0908268
-0.511859 -0.531534 -0.0911058
0.508325 -0.516919 0.000916476
-0.523198 0.254986 0.659266
-0.156166 0.519204 0.717538
0.14543 0.47883 0.739127
0.00170814 0.425384 -0.473361
0.536494 -0.503123 -0.711009
0.503107 -0.50724 -0.298407
0.237725 0.339529 -0.272842
0.330129 0.366791 -0.298203
-0.530565 -0.473027 -0.755744
-0.487004 -0.508049 -0.298254
-0.434273 0.164942 -0.303374
0.466319 0.274368 -0.298203
0.108384 0.392277 -0.10128
-0.487004 -0.513336 -0.303437
0.423413 0.337966 0.401337
0.221377 -0.500931 -0.280153
-0.297944 0.311055 -0.375941
-0.553228 -0.320144 0.198768
0.452878 0.130738 -0.0971277
curve (20).obj
-0.307636 0.375512 -0.487988
0.321797 0.377296 -0.493108
-0.40583 -0.195753 -0.0175223
-0.333716 0.395356 0.406002
0.10693 0.47245 0.788959
0.412533 -0.0265943 -0.279548
-0.364616 -0.461173 -0.501097
-0.391503 0.0326428 0.178456
-0.146167 0.308404 -0.28542
0.369115 -0.467083 -0.421348
0.358207 0.406548 0.561151
-0.341331 -0.111876 -0.276104
0.217869 -0.193197 -0.286408
-0.298591 0.443412 0.698908
0.357188 -0.452136 -0.674002
0.267252 0.316714 -0.0732967
-0.356226 0.401279 0.137834
0.0415744 -0.514153 -0.289475
-0.0536178 0.401989 0.62035
0.315437 0.371729 0.240469
0.160591 0.443439 0.351328
0.425156 -0.139661 0.0144322
-0.409697 -0.437438 -0.759749
0.348477 0.448617 -0.783179
0.464853 0.0254467 0.213887
0.172956 0.229764 -0.281835
-0.0395014 0.315829 0.0952073
-0.407295 0.081829 -0.275948
-0.0188002 -0.042478 -0.293755
-0.444482 -0.339407 -0.251527
curve (21).obj
-0.228945 0.494855 0.693522
0.111145 -0.628694 -0.167473
-0.344249 -0.499361 -0.321517
-0.493979 -0.156563 0.322119
0.496888 -0.104735 0.275516
-0.420921 0.408932 0.283946
-0.0125465 -0.395918 -0.316813
0.590098 -0.287439 -0.21324
0.328908 -0.147648 -0.318689
-0.371234 -0.493961 -0.00185363
-0.326842 0.311538 -0.681832
0.22998 0.560347 0.706618
0.475635 -0.613006 -0.110555
-0.240857 0.400875 -0.269549
-0.595243 -0.588234 -0.176084
0.602225 -0.405908 0.0973899
0.450678 0.343373 0.617886
-0.538531 -0.411132 0.308773
0.522516 0.232024 -0.226132
0.52736 -0.561061 -0.708159
-0.465694 0.321558 0.59494
-0.583077 -0.287946 -0.281534
0.32642 -0.480457 -0.316453
0.0232765 0.393553 0.170734
-0.535298 0.162759 -0.26383
-0.469716 -0.467816 -0.624958
0.355731 0.347977 -0.771579
-0.26719 -0.134237 -0.318776
-0.107342 0.458788 -0.0658499
-0.464669 0.164209 -0.0684572
curve (22).obj
-0.121871 0.348341 0.112124
0.300164 -0.379961 -0.484147
0.244158 0.370627 0.286103
-0.277306 0.393941 0.442878
0.37431 -0.267763 0.323371
-0.277186 -0.354478 -0.678658
0.332829 -0.41384 -0.150015
0.315638 -0.220748 0.0637778
-0.0121015 0.43372 0.760242
0.030648 -0.421107 0.0112781
-0.362509 -0.356051 -0.398331
0.366139 -0.379877 -0.749106
-0.381621 -0.371083 -0.124126
-0.246999 0.334847 -0.633577
0.298703 0.220255 -0.0050589
-0.375226 0.136935 0.317734
0.306327 0.414848 0.628076
-0.280887 0.431071 0.688863
-0.344423 -0.254501 0.3031
0.213262 0.343621 -0.780797
-0.209133 0.379132 0.0746581
0.311238 0.132541 0.358097
0.261312 0.357154 -0.493629
-0.34684 0.141407 -0.0245753
-0.246999 0.293289 -0.0953276
0.213262 0.291202 -0.218347
0.0683746 0.464258 0.739168
-0.315087 -0.169454 -0.0101971
-0.295049 0.347448 -0.22753
0.000663828 0.408034 -0.103528
line (01).obj
-0.137596 0.291817 0.147648
0.698645 -0.396982 -0.401288
0.767979 -0.300307 0.242444
0.660138 0.158021 -0.408449
-0.474296 0.188174 -0.449604
-0.668109 -0.383977 -0.39121
0.396789 0.354003 0.505999
-0.66022 0.0780651 -0.428851
0.682645 0.255422 -0.139271
0.767979 0.129826 0.216659
-0.0654214 0.25036 -0.0912528
-0.714648 0.452329 0.193988
-0.241772 0.21483 -0.450375
-0.468791 -0.396869 -0.0085877
-0.594471 0.380658 0.505228
0.418122 0.242959 -0.211089
-0.313366 0.219102 -0.0855219
-0.639981 0.256287 -0.211474
-0.0334211 0.380658 0.505228
0.655186 -0.302152 -0.0298525
-0.8 -0.172639 -0.472511
0.660138 -0.090838 -0.0677998
-0.730648 -0.327562 0.189876
-0.380788 0.291817 0.147648
-0.157941 -0.425885 -0.398206
-0.682648 0.163904 0.229012
-0.297947 0.407313 0.504457
0.757312 0.45175 0.173996
0.463763 -0.319401 -0.436947
-0.141325 -0.186277 -0.492124
line (02).obj
-0.0047568 -0.287544 -0.152927
0.00598494 0.410868 0.371243
0.687468 -0.274018 -0.235193
0.64784 0.347848 -0.026676
0.0318223 0.349588 -0.0227305
-0.698047 0.426303 -0.109138
0.648593 0.339782 0.438095
-0.686969 -0.378299 -0.0685904
-0.661087 0.410777 0.415352
0.762501 0.151407 -0.153947
0.602868 -0.300709 -0.23389
-0.75625 -0.161154 -0.296258
-0.216797 0.368554 -0.254794
-0.602118 -0.297949 -0.23509
0.775 -0.0654896 0.188311
0.713538 -0.288982 -0.033023
-0.75 0.20779 -0.288067
-0.0617074 -0.350178 -0.0221312
0.0499248 -0.328532 -0.0175697
-0.602611 -0.308085 -0.227289
-0.725 0.203263 0.197251
0.618458 0.342525 -0.22951
0.3625 0.393002 -0.264914
-0.703719 -0.288556 -0.0227033
-0.618424 0.353406 -0.16616
0.121484 -0.312502 -0.214588
0.619513 0.363781 -0.21756
0.619513 0.363162 -0.17484
0.750001 0.194019 0.154933
-0.8 -0.0328048 0.155764
line (05).obj
0.184032 0.106311 0.277517
-0.445059 0.418553 0.163002
0.0683006 0.418749 0.190735
0.765217 -0.417464 -0.00876258
0.408537 -0.415842 0.220797
0.579922 -0.102977 0.194422
-0.457232 -0.206981 0.243485
0.552095 0.419261 0.263224
0.156206 -0.311582 0.207978
-0.744348 -0.210657 -0.276779
-0.758261 0.417777 0.0532551
-0.57992 0.210315 0.228454
-0.772174 -0.206725 0.279728
-0.751304 0.102379 -0.278991
-0.8 -0.104837 -0.0688262
-0.786087 0.416152 -0.176673
-0.211857 0.314831 0.25188
0.372174 0.209678 0.138391
0.793043 0.311069 -0.280466
0.8 -0.207216 0.210165
-0.262134 -0.311753 0.183815
0.674783 0.105628 0.180866
0.8 0.103853 -0.0703007
0.558261 -0.312048 0.142078
-0.772174 -0.417381 0.00294895
-0.0891689 0.00153891 0.217848
-0.401579 0.105628 0.180866
-0.758261 0.106311 0.277517
0.744347 0.417851 0.0636894
-0.0317781 -0.416209 0.168901
line (06).obj
0.237321 -0.269622 -0.443502
-0.340768 0.239748 0.262815
0.0932618 0.377663 0.627385
-0.208695 -0.295668 -0.386071
-0.098947 0.331737 0.270137
0.175212 0.30321 0.230568
0.239538 -0.404826 -0.760478
-0.205793 0.175591 -0.141647
0.215357 0.232482 -0.293817
0.100012 0.326694 -0.0619304
-0.306902 -0.312444 -0.0423888
0.27413 0.408909 -0.723729
-0.199616 0.389307 0.670932
0.216625 -0.231677 -0.100064
-0.225575 0.264912 -0.439525
-0.0238612 -0.0113425 -0.0775966
-0.237093 -0.400509 -0.764009
-0.263296 0.395047 -0.682141
0.354158 0.270425 0.384248
0.23523 0.00244767 -0.486753
0.283978 0.0670304 -0.0705766
-0.0667483 -0.330557 -0.0425508
-0.233086 -0.010027 -0.486042
-0.289258 -0.00118106 -0.0775063
0.00357808 0.320274 -0.466782
-0.314363 0.313834 0.45905
-0.142685 0.414846 0.742634
-0.174591 0.283969 0.0975716
-0.253362 -0.269456 -0.279733
-0.203717 0.21083 -0.220247
line (07).obj
-0.662184 0.55729 -0.34133
-0.270341 -0.537821 -0.298288
-0.605615 -0.52839 -0.301712
0.6115 0.698364 0.721796
-0.580692 0.700961 -0.0284868
-0.655889 0.344139 -0.152765
-0.58647 -0.659796 -0.0558074
-0.648813 -0.510199 -0.248051
0.62126 0.541011 -0.417721
-0.248822 0.61629 -0.0616632
-0.60335 0.588885 0.547266
0.608617 0.550661 -0.00030244
-0.311352 0.607052 -0.2937
0.57109 -0.519986 -0.0171837
-0.251463 0.481749 0.0570422
-0.667027 -0.192405 0.20011
0.597696 0.550202 0.396713
-0.0132462 -0.666022 -0.259592
0.648761 -0.505803 -0.404703
-0.61511 0.289951 -0.289577
-0.269901 -0.499619 -0.411518
-0.651382 0.290122 -0.407773
0.0100177 0.0653262 -0.415079
0.0133369 0.0486333 -0.414986
-0.648018 -0.224558 -0.0519131
-0.552258 -0.545539 -0.305828
-0.656829 -0.412025 -0.298776
0.711352 0.253415 0.328978
-0.277325 -0.214342 -0.413526
0.629224 0.0594854 -0.139512
line (08).obj
0.207603 0.345508 -0.236611
-0.285986 -0.326919 -0.0734383
0.168761 -0.406788 -0.0577583
0.302894 0.297313 0.00816163
-0.212205 -0.337935 -0.372113
0.287109 -0.293637 -0.679802
-0.25097 0.352042 -0.0835123
0.362668 0.328738 0.775419
-0.231931 0.382186 0.425485
0.0689217 0.357961 0.263935
-0.397844 0.409507 0.749168
-0.288838 0.299776 -0.372408
0.0546892 0.372406 0.727195
0.284359 -0.295627 -0.244419
-0.180875 -0.419634 0.0448647
0.207859 0.272832 -0.573986
-0.288904 0.334697 -0.705451
0.326471 0.400806 0.214011
-0.364687 -0.0525115 0.0328771
0.351368 -0.271722 -0.0112471
0.127745 0.297579 0.022175
0.351052 -0.0907065 -0.0451869
-0.0655737 0.0225609 -0.041392
-0.229135 -0.278859 -0.775454
-0.175192 0.368691 0.0168646
0.113175 0.393934 0.524046
-0.338509 0.396335 0.13286
0.000696724 -0.0533428 0.0722773
-0.239064 0.423581 0.796118
-0.362213 0.309272 0.0363577
line (10).obj
0.331865 -0.393816 -0.621178
0.0399344 0.33645 0.758136
-0.225143 0.312617 0.7668
0.303898 0.445382 -0.750591
-0.20401 0.25622 0.400406
0.34768 -0.121811 -0.795524
-0.371918 -0.431558 -0.0627206
-0.331112 0.100574 -0.250138
0.171176 0.280236 0.550187
0.303113 0.147941 -0.598413
0.318391 0.204831 0.0317864
-0.361125 0.171717 -0.390511
-0.300055 0.432204 -0.719732
0.0263451 0.120986 -0.236352
0.385479 -0.418391 -0.0126874
-0.113638 -0.437786 -0.540021
0.012353 -0.392398 -0.288322
-0.362747 -0.431779 -0.726622
0.095435 0.26975 0.316073
-0.361977 -0.141615 -0.787575
-0.432774 -0.16518 0.0233422
-0.323526 0.121211 -0.650565
-0.331908 -0.198862 -0.218172
-0.211278 0.216636 0.148606
0.333252 0.12018 -0.230073
0.301555 -0.441399 -0.350672
0.344074 -0.0726724 0.0231458
0.0388962 0.146794 -0.576332
-0.36267 -0.409318 -0.354144
0.333585 0.236545 0.285661
line (12).obj
-0.0753256 -0.0160984 -0.0673652
-0.344875 0.393525 0.449461
-0.392302 -0.354833 -0.452906
0.215746 0.394868 0.646306
0.101994 0.293836 -0.0691091
-0.125571 0.382736 0.573823
0.368598 0.338697 -0.625147
-0.339697 0.377485 -0.0516648
-0.318576 -0.212067 -0.0651172
-0.342746 0.398597 0.693482
-0.185089 -0.168498 -0.619992
0.339689 0.377503 -0.0303051
-0.393121 -0.378391 -0.702986
-0.00488112 0.438832 0.773966
-0.399363 0.431407 -0.793145
0.364385 0.356195 0.454957
-0.353338 0.385803 -0.520397
0.355248 0.0698485 -0.592113
-0.346928 0.359084 0.214189
0.373687 -0.37439 -0.667208
-0.350956 0.367597 -0.247285
0.352863 -0.348905 -0.396475
0.350649 0.3386 0.13115
-0.365 0.0642225 -0.60629
0.144723 0.379807 0.289568
0.3686 -0.0960272 -0.62487
-0.095046 0.180871 -0.616906
-0.128029 0.379807 0.291948
-0.160189 0.377518 -0.0122997
-0.394592 -0.376271 -0.246431
line (13).obj
0.246253 0.305908 0.380653
-0.716353 -0.121087 -0.062594
0.723637 -0.26132 0.314945
0.698182 0.287587 0.405115
-0.705455 -0.316063 -0.347321
-0.712727 0.276597 0.419607
-0.716353 0.14048 0.0115211
-0.712727 0.265474 -0.235157
0 -0.290349 0.300245
0.741818 0.0659637 0.345759
0.349091 0.276978 0.346864
-0.698182 -0.290502 0.329342
0.705455 0.266046 -0.344271
0.698182 -0.302082 -0.23813
-0.218747 0.30595 0.37247
-0.4 0.363723 0.456436
-0.523636 -0.276102 0.358515
-0.349091 -0.305054 0.329266
0.738188 0.0546889 -0.279909
-0.8 -0.0909544 0.435867
0.725461 -0.121087 -0.062594
0.698182 0.278884 -0.0168515
0.6 0.0908595 0.455006
-0.698182 0.321398 0.201606
0.349091 -0.276406 0.41671
0.727279 0.0524021 0.15655
-0.723627 0.00375419 -0.280175
-0.718172 0.0811266 0.229446
0.2 0.363913 0.420064
-0.2 -0.182004 0.453577
line (18).obj
0.0200116 0.309057 0.203794
-0.22998 -0.345221 -0.206063
-0.0611177 0.341999 0.8
-0.245406 -0.239196 -0.532956
0.261928 0.277303 -0.457182
-0.14622 0.297477 -0.208972
0.129198 -0.14404 -0.165005
0.270551 0.250831 -0.187246
-0.147305 0.359332 0.525341
0.253644 0.242103 0.181815
0.231461 -0.240734 -0.556122
0.329877 -0.291511 -0.195397
-0.304632 0.262004 -0.00550081
-0.281957 -0.307981 -0.165005
-0.305478 0.319797 -0.616541
0.290014 0.288515 0.518322
-0.300617 0.248456 0.338889
0.172701 0.237835 -0.172236
0.218986 0.282357 0.8
0.298946 0.250875 -0.707438
-2.54045e-007 -0.364438 -0.178157
0.274726 0.277303 -0.44558
-0.188275 -0.064182 -0.165005
-0.335421 0.312382 0.8
-0.128998 0.00719733 -0.165005
-0.00173491 -0.258118 -0.44855
-0.251977 -0.285419 -0.466734
0.256647 -0.247924 -0.473627
0.3352 -0.0728306 -0.184356
0.0833997 -0.00184672 -0.247298
line (22).obj
-0.727304 0.283033 0.413431
0.751326 -0.0859502 0.117364
0.71959 -0.128936 -0.133814
-0.751321 0.135359 -0.00779628
-0.712389 -0.257433 -0.302649
0.73989 -0.254441 0.41
-0.742743 -0.21376 0.179944
0.357366 0.262734 0.412573
0.737637 0.284418 -0.302649
0.253153 -0.271596 0.277614
0.728453 0.204983 -0.00779628
-0.00100806 -0.270102 0.413431
-0.180676 -0.272783 0.457055
0.536048 -0.26016 0.269322
0.749611 0.261303 0.380837
0.54381 0.133807 0.444309
0.749216 0.0751121 -0.304793
-0.727304 0.254441 -0.23931
-0.74757 -0.0739767 0.45496
-0.742743 -0.21376 -0.0703764
0.372771 0.293853 -0.302649
-0.745603 0.100047 0.242524
-0.181268 0.271046 0.4506
-0.571046 -0.301067 0.459177
-0.357361 -0.261017 0.275041
0.768481 -0.283033 -0.239309
-0.565553 -0.298604 -0.330382
-0.534674 0.256112 -0.302649
-0.541219 0.266671 0.413431
0.718732 6.2901e-007 0.411715
line (24).obj
0.750588 0.301192 -0.144706
-0.781192 -0.236722 0.346824
0.788711 0.12331 0.389647
0.195273 0.432927 0.371765
-0.195313 0.301163 0.338824
-0.668236 -0.301192 -0.395295
0.0976267 0.162575 0.363294
0.743207 -0.369479 -0.404706
0.788711 0.342604 0.117176
-0.488252 0.325869 0.404706
0.781152 -0.432957 0.355294
0.390566 0.432927 0.289412
0.683506 0.309399 0.404706
-0.292959 -0.154369 0.342353
-0.783529 0.399985 -0.395295
-0.773653 0.312456 0.200706
-0.781192 0.106338 0.384
0.195273 -0.432957 0.322353
-0.195313 -0.400016 0.272941
-0.8 -0.301192 0.0223528
0.788711 -0.234338 0.314353
0.8 -0.399985 -0.0952942
0.488213 0.122808 0.363294
0.195273 -0.154369 0.311059
0.585859 -0.269662 0.355765
0.734117 0.432957 -0.389648
-0.585899 -0.432957 0.272941
-0.783529 -0.301192 -0.144706
-0.585899 -0.17084 0.363294
-0.292959 0.154339 0.288706
line (25).obj
0.689474 -0.205263 0.136842
0.763158 0.0250003 0.463179
0.763158 0.277632 0.163158
0.736842 -0.294087 0.313158
0.737204 -0.0315787 0.168421
0.768421 -0.289477 -0.589474
-0.736842 0.321053 0.115789
-0.784211 -0.126315 0.376337
-0.784211 0.157895 0.463179
0.8 -0.305269 -0.294737
-0.736842 -0.28685 0.0828947
-0.747368 0.273684 -0.534211
-0.36806 -0.0842103 0.210526
-0.368421 0.289474 0.142105
0.736842 0.336855 0.589474
